2022-06-30;PlateauUrbain;Sprint nouveaux graphique;13;CommuneMesure
2022-06-30;Aurouze;TMA;5,5;TMA
2022-06-30;Juricaf;Fine tuning;9;RefonteResponsive
2022-06-30;VinsIGP;TMA;10;TMA
2022-06-30;CIVA;TMA;3;TMA
2022-06-30;AVA;TMA;3;TMA
2022-06-30;ODGProvence;TMA;3;TMA
2022-06-30;IVBD;TMA;2;TMA
2022-06-30;IVSO;TMA;0,5;TMA
2022-06-30;ODGNantes;TMA;1;TMA
2022-06-30;VINSI;TMA;2;TMA
2022-06-30;VINSI;TMA Conseil;1;Conseil
2022-06-30;BIVC;sprint autodiag;8;Autodiagnostic
2022-06-02;Juricaf;Fine-tunning;7,0;TMA
2022-06-14;Aurouze;TMA;20,0;TMA
2022-06-30;IR;Developpement;10,5;Pluriannuel
2022-06-30;IR;Assistance / Demande;7;TMA
2022-06-30;CIVP;Assistance / Demande;3,5;TMA
2022-06-30;VINSI;Assistance / Demande;0,5;TMA
2022-06-30;VINSI;Accès DRM;2;Conseil
2022-06-30;IVSE;Assistance / Demande;7;TMA
2022-06-30;IVSE;SV12;6;Facturation
2022-06-30;Juricaf;Integration CJUE;21;TMA
2022-06-30;NathanMode;Developpement;21;EvolutionsCoupes
2022-06-30;ODGProvence;Assistance / Demande;1;TMA
2022-06-30;BIVC;Assistance / Demande;3,5;Autodiagnostic
2022-06-30;CIVA;Assistance / Demande;5;TMA
2022-06-30;IVSO;Assistance / Demande;3,5;TMA
2022-06-30;VINSI;Direction technique;3,5;Vinsi TMA DT
2022-06-30;VinsIGP;Direction technique;3,5;Forfait
2022-06-30;Juricaf;Direction technique;14;TMA
2022-06-30;AMVM;Direction technique;14;Forfait
2022-06-30;IR;Direction technique;3,5;TMA
2022-06-30;IVSO;Direction technique;3,5;TMA
2022-06-30;ODGRhone;Direction technique;7;Réunion + TMA
2022-06-30;CNIV;Direction technique;10,5;TMA
2022-06-30;Viticonnect;Direction technique;3,5;TMA
2022-06-30;AdminSys;Direction technique;3,5;AdminSys
2022-06-30;VINSI;Direction technique;1;Conseil
2022-06-30;CIVA;TMA;10,5;TMA
2022-06-30;AVA;TMA;3,5;TMA
2022-06-30;VinsIGP;Corrections, Améliorations et maintenance;10,5;TMA
2022-06-30;NathanMode;Interface des coupes et finetuning;10,5;EvolutionsCoupes
2022-06-30;IVBD;TMA;3,5;TMA
2022-06-30;IVSO;TMA;2,5;TMA
2022-06-30;Aurouze;TMA;3,5;TMA
2022-06-30;Aurouze;Deploiement Touraine;7,0;Touraine
2022-06-30;ODGRhone;Préparation Bio + Réunion;7,0;Réunion
2022-06-30;ODGRhone;Formation métabase + préparation;3,5;Formation métabase
2022-06-30;IVSE;Relances;7,0;Relances
2022-06-30;VINSI;Loire conseil;2,0;Conseil
2022-06-30;ODGProvence;TMA;7,0;TMA
2022-06-30;Juricaf;Fine tuning;17,5;Responsive
2022-06-30;Juricaf;Présentation congrès;3,5;TMA
2022-06-30;CNIV;Nouveau compte openvpn;3,5;TMA
